boundary,counties
place,"Los Angeles County, California"
threshold,94.4 °F
climate variable,tasmax
scenario,rcp85 
 
 name,year,count
Observed,1950,5
Observed,1951,0
Observed,1952,1
Observed,1953,2
Observed,1954,2
Observed,1955,9
Observed,1956,3
Observed,1957,3
Observed,1958,2
Observed,1959,7
Observed,1960,10
Observed,1961,1
Observed,1962,1
Observed,1963,6
Observed,1964,0
Observed,1965,2
Observed,1966,0
Observed,1967,7
Observed,1968,0
Observed,1969,2
Observed,1970,4
Observed,1971,7
Observed,1972,7
Observed,1973,4
Observed,1974,0
Observed,1975,0
Observed,1976,8
Observed,1977,1
Observed,1978,5
Observed,1979,11
Observed,1980,10
Observed,1981,9
Observed,1982,4
Observed,1983,7
Observed,1984,6
Observed,1985,12
Observed,1986,0
Observed,1987,2
Observed,1988,3
Observed,1989,4
Observed,1990,8
Observed,1991,1
Observed,1992,5
Observed,1993,0
Observed,1994,12
Observed,1995,8
Observed,1996,10
Observed,1997,3
Observed,1998,14
Observed,1999,0
Observed,2000,3
Observed,2001,1
Observed,2002,4
Observed,2003,5
Observed,2004,2
Observed,2005,3
HadGEM2-ES,1950,0
HadGEM2-ES,1951,2
HadGEM2-ES,1952,12
HadGEM2-ES,1953,14
HadGEM2-ES,1954,12
HadGEM2-ES,1955,3
HadGEM2-ES,1956,13
HadGEM2-ES,1957,7
HadGEM2-ES,1958,11
HadGEM2-ES,1959,5
HadGEM2-ES,1960,6
HadGEM2-ES,1961,6
HadGEM2-ES,1962,4
HadGEM2-ES,1963,11
HadGEM2-ES,1964,5
HadGEM2-ES,1965,1
HadGEM2-ES,1966,5
HadGEM2-ES,1967,0
HadGEM2-ES,1968,8
HadGEM2-ES,1969,1
HadGEM2-ES,1970,3
HadGEM2-ES,1971,2
HadGEM2-ES,1972,4
HadGEM2-ES,1973,13
HadGEM2-ES,1974,5
HadGEM2-ES,1975,10
HadGEM2-ES,1976,3
HadGEM2-ES,1977,11
HadGEM2-ES,1978,3
HadGEM2-ES,1979,4
HadGEM2-ES,1980,0
HadGEM2-ES,1981,0
HadGEM2-ES,1982,4
HadGEM2-ES,1983,4
HadGEM2-ES,1984,2
HadGEM2-ES,1985,1
HadGEM2-ES,1986,4
HadGEM2-ES,1987,4
HadGEM2-ES,1988,10
HadGEM2-ES,1989,4
HadGEM2-ES,1990,4
HadGEM2-ES,1991,0
HadGEM2-ES,1992,11
HadGEM2-ES,1993,1
HadGEM2-ES,1994,6
HadGEM2-ES,1995,6
HadGEM2-ES,1996,6
HadGEM2-ES,1997,11
HadGEM2-ES,1998,21
HadGEM2-ES,1999,11
HadGEM2-ES,2000,4
HadGEM2-ES,2001,8
HadGEM2-ES,2002,14
HadGEM2-ES,2003,4
HadGEM2-ES,2004,3
HadGEM2-ES,2005,4
HadGEM2-ES,2006,5
HadGEM2-ES,2007,13
HadGEM2-ES,2008,6
HadGEM2-ES,2009,16
HadGEM2-ES,2010,18
HadGEM2-ES,2011,7
HadGEM2-ES,2012,20
HadGEM2-ES,2013,13
HadGEM2-ES,2014,17
HadGEM2-ES,2015,15
HadGEM2-ES,2016,12
HadGEM2-ES,2017,12
HadGEM2-ES,2018,23
HadGEM2-ES,2019,3
HadGEM2-ES,2020,35
HadGEM2-ES,2021,12
HadGEM2-ES,2022,17
HadGEM2-ES,2023,24
HadGEM2-ES,2024,20
HadGEM2-ES,2025,16
HadGEM2-ES,2026,10
HadGEM2-ES,2027,17
HadGEM2-ES,2028,13
HadGEM2-ES,2029,10
HadGEM2-ES,2030,15
HadGEM2-ES,2031,13
HadGEM2-ES,2032,23
HadGEM2-ES,2033,32
HadGEM2-ES,2034,29
HadGEM2-ES,2035,38
HadGEM2-ES,2036,38
HadGEM2-ES,2037,33
HadGEM2-ES,2038,27
HadGEM2-ES,2039,31
HadGEM2-ES,2040,33
HadGEM2-ES,2041,19
HadGEM2-ES,2042,25
HadGEM2-ES,2043,41
HadGEM2-ES,2044,54
HadGEM2-ES,2045,23
HadGEM2-ES,2046,19
HadGEM2-ES,2047,31
HadGEM2-ES,2048,31
HadGEM2-ES,2049,26
HadGEM2-ES,2050,24
HadGEM2-ES,2051,42
HadGEM2-ES,2052,41
HadGEM2-ES,2053,41
HadGEM2-ES,2054,23
HadGEM2-ES,2055,51
HadGEM2-ES,2056,41
HadGEM2-ES,2057,40
HadGEM2-ES,2058,58
HadGEM2-ES,2059,49
HadGEM2-ES,2060,43
HadGEM2-ES,2061,41
HadGEM2-ES,2062,73
HadGEM2-ES,2063,23
HadGEM2-ES,2064,56
HadGEM2-ES,2065,35
HadGEM2-ES,2066,23
HadGEM2-ES,2067,37
HadGEM2-ES,2068,62
HadGEM2-ES,2069,47
HadGEM2-ES,2070,45
HadGEM2-ES,2071,44
HadGEM2-ES,2072,65
HadGEM2-ES,2073,50
HadGEM2-ES,2074,45
HadGEM2-ES,2075,54
HadGEM2-ES,2076,52
HadGEM2-ES,2077,72
HadGEM2-ES,2078,63
HadGEM2-ES,2079,73
HadGEM2-ES,2080,65
HadGEM2-ES,2081,64
HadGEM2-ES,2082,55
HadGEM2-ES,2083,91
HadGEM2-ES,2084,77
HadGEM2-ES,2085,70
HadGEM2-ES,2086,59
HadGEM2-ES,2087,75
HadGEM2-ES,2088,72
HadGEM2-ES,2089,62
HadGEM2-ES,2090,75
HadGEM2-ES,2091,63
HadGEM2-ES,2092,72
HadGEM2-ES,2093,98
HadGEM2-ES,2094,62
HadGEM2-ES,2095,84
HadGEM2-ES,2096,80
HadGEM2-ES,2097,56
HadGEM2-ES,2098,115
HadGEM2-ES,2099,67
CNRM-CM5,1950,6
CNRM-CM5,1951,3
CNRM-CM5,1952,3
CNRM-CM5,1953,6
CNRM-CM5,1954,9
CNRM-CM5,1955,6
CNRM-CM5,1956,8
CNRM-CM5,1957,3
CNRM-CM5,1958,0
CNRM-CM5,1959,1
CNRM-CM5,1960,7
CNRM-CM5,1961,5
CNRM-CM5,1962,0
CNRM-CM5,1963,5
CNRM-CM5,1964,3
CNRM-CM5,1965,4
CNRM-CM5,1966,3
CNRM-CM5,1967,5
CNRM-CM5,1968,0
CNRM-CM5,1969,13
CNRM-CM5,1970,4
CNRM-CM5,1971,3
CNRM-CM5,1972,5
CNRM-CM5,1973,8
CNRM-CM5,1974,12
CNRM-CM5,1975,12
CNRM-CM5,1976,10
CNRM-CM5,1977,5
CNRM-CM5,1978,3
CNRM-CM5,1979,6
CNRM-CM5,1980,7
CNRM-CM5,1981,11
CNRM-CM5,1982,7
CNRM-CM5,1983,3
CNRM-CM5,1984,1
CNRM-CM5,1985,0
CNRM-CM5,1986,0
CNRM-CM5,1987,6
CNRM-CM5,1988,4
CNRM-CM5,1989,11
CNRM-CM5,1990,6
CNRM-CM5,1991,11
CNRM-CM5,1992,3
CNRM-CM5,1993,7
CNRM-CM5,1994,5
CNRM-CM5,1995,9
CNRM-CM5,1996,12
CNRM-CM5,1997,16
CNRM-CM5,1998,5
CNRM-CM5,1999,3
CNRM-CM5,2000,1
CNRM-CM5,2001,8
CNRM-CM5,2002,6
CNRM-CM5,2003,15
CNRM-CM5,2004,13
CNRM-CM5,2005,8
CNRM-CM5,2006,4
CNRM-CM5,2007,9
CNRM-CM5,2008,8
CNRM-CM5,2009,5
CNRM-CM5,2010,5
CNRM-CM5,2011,7
CNRM-CM5,2012,7
CNRM-CM5,2013,6
CNRM-CM5,2014,10
CNRM-CM5,2015,9
CNRM-CM5,2016,15
CNRM-CM5,2017,10
CNRM-CM5,2018,11
CNRM-CM5,2019,5
CNRM-CM5,2020,12
CNRM-CM5,2021,10
CNRM-CM5,2022,8
CNRM-CM5,2023,9
CNRM-CM5,2024,2
CNRM-CM5,2025,0
CNRM-CM5,2026,11
CNRM-CM5,2027,7
CNRM-CM5,2028,10
CNRM-CM5,2029,14
CNRM-CM5,2030,8
CNRM-CM5,2031,18
CNRM-CM5,2032,13
CNRM-CM5,2033,11
CNRM-CM5,2034,11
CNRM-CM5,2035,12
CNRM-CM5,2036,14
CNRM-CM5,2037,11
CNRM-CM5,2038,23
CNRM-CM5,2039,11
CNRM-CM5,2040,10
CNRM-CM5,2041,16
CNRM-CM5,2042,19
CNRM-CM5,2043,36
CNRM-CM5,2044,7
CNRM-CM5,2045,14
CNRM-CM5,2046,15
CNRM-CM5,2047,27
CNRM-CM5,2048,15
CNRM-CM5,2049,22
CNRM-CM5,2050,26
CNRM-CM5,2051,23
CNRM-CM5,2052,22
CNRM-CM5,2053,21
CNRM-CM5,2054,30
CNRM-CM5,2055,23
CNRM-CM5,2056,23
CNRM-CM5,2057,38
CNRM-CM5,2058,20
CNRM-CM5,2059,52
CNRM-CM5,2060,41
CNRM-CM5,2061,21
CNRM-CM5,2062,27
CNRM-CM5,2063,51
CNRM-CM5,2064,26
CNRM-CM5,2065,44
CNRM-CM5,2066,39
CNRM-CM5,2067,26
CNRM-CM5,2068,29
CNRM-CM5,2069,55
CNRM-CM5,2070,13
CNRM-CM5,2071,29
CNRM-CM5,2072,35
CNRM-CM5,2073,49
CNRM-CM5,2074,33
CNRM-CM5,2075,20
CNRM-CM5,2076,62
CNRM-CM5,2077,42
CNRM-CM5,2078,27
CNRM-CM5,2079,66
CNRM-CM5,2080,40
CNRM-CM5,2081,27
CNRM-CM5,2082,32
CNRM-CM5,2083,45
CNRM-CM5,2084,40
CNRM-CM5,2085,59
CNRM-CM5,2086,57
CNRM-CM5,2087,56
CNRM-CM5,2088,44
CNRM-CM5,2089,30
CNRM-CM5,2090,64
CNRM-CM5,2091,61
CNRM-CM5,2092,73
CNRM-CM5,2093,59
CNRM-CM5,2094,53
CNRM-CM5,2095,54
CNRM-CM5,2096,53
CNRM-CM5,2097,60
CNRM-CM5,2098,45
CNRM-CM5,2099,52
CNRM-CM5,2100,59
CanESM2,1950,10
CanESM2,1951,17
CanESM2,1952,1
CanESM2,1953,3
CanESM2,1954,0
CanESM2,1955,7
CanESM2,1956,1
CanESM2,1957,7
CanESM2,1958,3
CanESM2,1959,0
CanESM2,1960,2
CanESM2,1961,5
CanESM2,1962,5
CanESM2,1963,8
CanESM2,1964,12
CanESM2,1965,3
CanESM2,1966,3
CanESM2,1967,6
CanESM2,1968,3
CanESM2,1969,2
CanESM2,1970,0
CanESM2,1971,4
CanESM2,1972,3
CanESM2,1973,8
CanESM2,1974,5
CanESM2,1975,9
CanESM2,1976,7
CanESM2,1977,3
CanESM2,1978,5
CanESM2,1979,1
CanESM2,1980,1
CanESM2,1981,6
CanESM2,1982,0
CanESM2,1983,0
CanESM2,1984,1
CanESM2,1985,6
CanESM2,1986,0
CanESM2,1987,7
CanESM2,1988,6
CanESM2,1989,2
CanESM2,1990,3
CanESM2,1991,10
CanESM2,1992,0
CanESM2,1993,16
CanESM2,1994,5
CanESM2,1995,14
CanESM2,1996,17
CanESM2,1997,18
CanESM2,1998,11
CanESM2,1999,2
CanESM2,2000,9
CanESM2,2001,5
CanESM2,2002,3
CanESM2,2003,12
CanESM2,2004,10
CanESM2,2005,11
CanESM2,2006,12
CanESM2,2007,5
CanESM2,2008,9
CanESM2,2009,23
CanESM2,2010,20
CanESM2,2011,16
CanESM2,2012,26
CanESM2,2013,15
CanESM2,2014,8
CanESM2,2015,24
CanESM2,2016,15
CanESM2,2017,7
CanESM2,2018,13
CanESM2,2019,20
CanESM2,2020,23
CanESM2,2021,36
CanESM2,2022,44
CanESM2,2023,41
CanESM2,2024,29
CanESM2,2025,32
CanESM2,2026,38
CanESM2,2027,25
CanESM2,2028,12
CanESM2,2029,17
CanESM2,2030,45
CanESM2,2031,34
CanESM2,2032,23
CanESM2,2033,4
CanESM2,2034,23
CanESM2,2035,44
CanESM2,2036,54
CanESM2,2037,37
CanESM2,2038,32
CanESM2,2039,32
CanESM2,2040,58
CanESM2,2041,48
CanESM2,2042,13
CanESM2,2043,19
CanESM2,2044,37
CanESM2,2045,31
CanESM2,2046,37
CanESM2,2047,54
CanESM2,2048,50
CanESM2,2049,47
CanESM2,2050,54
CanESM2,2051,60
CanESM2,2052,49
CanESM2,2053,54
CanESM2,2054,57
CanESM2,2055,30
CanESM2,2056,48
CanESM2,2057,68
CanESM2,2058,34
CanESM2,2059,59
CanESM2,2060,33
CanESM2,2061,59
CanESM2,2062,48
CanESM2,2063,57
CanESM2,2064,63
CanESM2,2065,51
CanESM2,2066,58
CanESM2,2067,84
CanESM2,2068,50
CanESM2,2069,61
CanESM2,2070,52
CanESM2,2071,60
CanESM2,2072,27
CanESM2,2073,64
CanESM2,2074,43
CanESM2,2075,53
CanESM2,2076,72
CanESM2,2077,84
CanESM2,2078,59
CanESM2,2079,62
CanESM2,2080,50
CanESM2,2081,74
CanESM2,2082,66
CanESM2,2083,90
CanESM2,2084,53
CanESM2,2085,79
CanESM2,2086,75
CanESM2,2087,66
CanESM2,2088,72
CanESM2,2089,76
CanESM2,2090,75
CanESM2,2091,66
CanESM2,2092,74
CanESM2,2093,93
CanESM2,2094,70
CanESM2,2095,81
CanESM2,2096,96
CanESM2,2097,74
CanESM2,2098,104
CanESM2,2099,77
CanESM2,2100,100
MIROC5,1950,3
MIROC5,1951,6
MIROC5,1952,4
MIROC5,1953,4
MIROC5,1954,5
MIROC5,1955,4
MIROC5,1956,2
MIROC5,1957,9
MIROC5,1958,6
MIROC5,1959,6
MIROC5,1960,2
MIROC5,1961,9
MIROC5,1962,7
MIROC5,1963,3
MIROC5,1964,3
MIROC5,1965,1
MIROC5,1966,0
MIROC5,1967,2
MIROC5,1968,0
MIROC5,1969,2
MIROC5,1970,9
MIROC5,1971,6
MIROC5,1972,6
MIROC5,1973,11
MIROC5,1974,3
MIROC5,1975,2
MIROC5,1976,5
MIROC5,1977,4
MIROC5,1978,6
MIROC5,1979,7
MIROC5,1980,6
MIROC5,1981,5
MIROC5,1982,12
MIROC5,1983,2
MIROC5,1984,4
MIROC5,1985,4
MIROC5,1986,4
MIROC5,1987,5
MIROC5,1988,12
MIROC5,1989,6
MIROC5,1990,6
MIROC5,1991,3
MIROC5,1992,3
MIROC5,1993,0
MIROC5,1994,3
MIROC5,1995,20
MIROC5,1996,3
MIROC5,1997,5
MIROC5,1998,16
MIROC5,1999,9
MIROC5,2000,10
MIROC5,2001,11
MIROC5,2002,5
MIROC5,2003,19
MIROC5,2004,2
MIROC5,2005,1
MIROC5,2006,8
MIROC5,2007,13
MIROC5,2008,18
MIROC5,2009,5
MIROC5,2010,20
MIROC5,2011,15
MIROC5,2012,18
MIROC5,2013,0
MIROC5,2014,23
MIROC5,2015,15
MIROC5,2016,21
MIROC5,2017,16
MIROC5,2018,5
MIROC5,2019,16
MIROC5,2020,10
MIROC5,2021,11
MIROC5,2022,18
MIROC5,2023,14
MIROC5,2024,10
MIROC5,2025,16
MIROC5,2026,31
MIROC5,2027,16
MIROC5,2028,11
MIROC5,2029,13
MIROC5,2030,21
MIROC5,2031,21
MIROC5,2032,16
MIROC5,2033,15
MIROC5,2034,15
MIROC5,2035,28
MIROC5,2036,22
MIROC5,2037,32
MIROC5,2038,22
MIROC5,2039,34
MIROC5,2040,23
MIROC5,2041,28
MIROC5,2042,22
MIROC5,2043,22
MIROC5,2044,30
MIROC5,2045,36
MIROC5,2046,23
MIROC5,2047,38
MIROC5,2048,10
MIROC5,2049,35
MIROC5,2050,35
MIROC5,2051,36
MIROC5,2052,10
MIROC5,2053,49
MIROC5,2054,34
MIROC5,2055,25
MIROC5,2056,41
MIROC5,2057,42
MIROC5,2058,32
MIROC5,2059,23
MIROC5,2060,34
MIROC5,2061,40
MIROC5,2062,40
MIROC5,2063,23
MIROC5,2064,29
MIROC5,2065,25
MIROC5,2066,38
MIROC5,2067,48
MIROC5,2068,29
MIROC5,2069,36
MIROC5,2070,30
MIROC5,2071,20
MIROC5,2072,47
MIROC5,2073,54
MIROC5,2074,71
MIROC5,2075,22
MIROC5,2076,34
MIROC5,2077,37
MIROC5,2078,50
MIROC5,2079,41
MIROC5,2080,45
MIROC5,2081,50
MIROC5,2082,30
MIROC5,2083,45
MIROC5,2084,67
MIROC5,2085,40
MIROC5,2086,52
MIROC5,2087,51
MIROC5,2088,68
MIROC5,2089,47
MIROC5,2090,62
MIROC5,2091,36
MIROC5,2092,55
MIROC5,2093,37
MIROC5,2094,79
MIROC5,2095,68
MIROC5,2096,60
MIROC5,2097,37
MIROC5,2098,48
MIROC5,2099,74